name,uri,popularity,followers,genres
Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,77.0,9953015.0,hip pop neo soul pop r&b urban contemporary
Allen Stone,spotify:artist:536osqBGKzeozje8BfcGsa,54.0,309627.0,neo mellow retro soul
Alxndr London,spotify:artist:6ofPJGFZsNAUlzAYBVJB11,29.0,11770.0,neo r&b
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,69.0,1806760.0,hip hop pop portland hip hop rap
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,78.0,2226979.0,escape room
Ari Lennox,spotify:artist:1vaQ6v3pOFxAIrFoPrAcom,68.0,572870.0,alternative r&b dmv rap neo soul pop r&b rap
BANKS,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n,61.0,1016214.0,art pop electropop indie poptimism pop uk pop
Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,75.0,6027919.0,disco mellow gold soft rock
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,88.0,68569580.0,art pop electropop pop
Broken Bells,spotify:artist:6dgwEwnK0YtDfS9XhRwBTG,59.0,548934.0,alternative dance alternative rock indie rock indietronica la indie modern rock new rave rock
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,78.0,9794275.0,atl hip hop hip hop pop rap
Christian Scott aTunde Adjuah,spotify:artist:2q37Nw8NND2z1T1KU5XVfn,42.0,125235.0,contemporary jazz experimental jazz indie jazz indie soul jazz jazz trumpet new orleans jazz
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,77.0,3463203.0,canadian contemporary r&b pop r&b
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,88.0,21840623.0,dance pop pop
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,95.0,66938376.0,canadian hip hop canadian pop hip hop rap toronto rap
FKJ,spotify:artist:2FwDTncULUnmANIh7qKa5z,68.0,1198166.0,filter house indie soul
Flo Naegeli,spotify:artist:0liNX4mflJExPsvDkY7yfa,33.0,1095.0,
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,83.0,9963693.0,hip hop lgbtq+ hip hop neo soul pop
Galimatias,spotify:artist:0tOrKkXIn3VYyVHFEPG6Xd,56.0,133315.0,chillstep
Giveon,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP,80.0,2470311.0,pop r&b
Hobo Johnson,spotify:artist:05SdqPzK4m3k1ljK2wrTSP,54.0,688626.0,emo rap sacramento hip hop
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,67.0,1185745.0,hip hop rap tennessee hip hop underground hip hop
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,85.0,17863795.0,conscious hip hop hip hop north carolina hip hop rap
Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,83.0,2539368.0,deep underground hip hop kentucky hip hop pop
Jalen Santoy,spotify:artist:41DGOfz7IFMVvf9wKAzeZS,53.0,110273.0,north carolina hip hop underground hip hop
Jhené Aiko,spotify:artist:5ZS223C6JyBfXasXxrRqOk,77.0,5811801.0,pop r&b urban contemporary
John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14,77.0,5628819.0,neo mellow singer-songwriter
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,88.0,21416261.0,conscious hip hop hip hop rap west coast rap
Lianne La Havas,spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt,58.0,843530.0,alternative r&b british soul indie soul neo soul pop soul soul
Lolo Zouaï,spotify:artist:2qDIR2WlcW3llkGqJWg9VJ,54.0,188932.0,pop
Lucky Daye,spotify:artist:5Vuvs6Py2JRU7WiFDVsI7J,68.0,441007.0,pop r&b
Ludovico Einaudi,spotify:artist:2uFUBdaVGtyMqckSeCl0Qj,77.0,2718852.0,bow pop compositional ambient neo-classical
Marian Hill,spotify:artist:1xHQO9GJIW9OXHxGBISYc5,55.0,456567.0,electropop
