artistName,trackName,secondsPlayed,dateTime_UTC,dateTime,dayNumber,dayOfWeek,hour
Dua Lipa,Pretty Please,116.779,2021-09-16 09:07:00,2021-09-16 02:07:00,0,Thursday,2
Remi Wolf,Photo ID,169.941,2021-09-17 02:12:00,2021-09-16 19:12:00,0,Thursday,19
Remi Wolf,Photo ID,9.032,2021-09-17 02:15:00,2021-09-16 19:15:00,0,Thursday,19
Remi Wolf,Disco Man,32.277,2021-09-17 02:15:00,2021-09-16 19:15:00,0,Thursday,19
Remi Wolf,Down The Line,174.065,2021-09-17 02:15:00,2021-09-16 19:15:00,0,Thursday,19
Jaden,Cabin Fever from The Hill,228.6,2021-09-18 22:24:00,2021-09-18 15:24:00,2,Saturday,15
Lil Nas X,SCOOP (feat. Doja Cat),174.164,2021-09-18 22:27:00,2021-09-18 15:27:00,2,Saturday,15
dhruv,double take,171.743,2021-09-18 22:29:00,2021-09-18 15:29:00,2,Saturday,15
Drake,Champagne Poetry,202.144,2021-09-19 00:01:00,2021-09-18 17:01:00,2,Saturday,17
Jonas Brothers,Who's In Your Head,183.536,2021-09-19 00:04:00,2021-09-18 17:04:00,2,Saturday,17
Duckwrth,Kiss U Right Now,11.331,2021-09-19 00:05:00,2021-09-18 17:05:00,2,Saturday,17
Lil Nas X,SCOOP (feat. Doja Cat),74.99,2021-09-19 00:05:00,2021-09-18 17:05:00,2,Saturday,17
DESTIN CONRAD,CAUTIOUS,140.45,2021-09-19 00:08:00,2021-09-18 17:08:00,2,Saturday,17
James Blake,Famous Last Words,256.155,2021-09-19 00:12:00,2021-09-18 17:12:00,2,Saturday,17
Dijon,Many Times,92.886,2021-09-19 00:13:00,2021-09-18 17:13:00,2,Saturday,17
Miguel,So I Lie,237.4,2021-09-19 00:17:00,2021-09-18 17:17:00,2,Saturday,17
ODIE,Miss Summer,38.959,2021-09-19 00:18:00,2021-09-18 17:18:00,2,Saturday,17
Charlotte Dos Santos,Watching You,2.089,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Jidenna,Bambi,0.812,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Carter Ace,If It Don't Work,1.787,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Rexx Life Raj,Moonwalk,1.277,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Tay Walker,Dreaming,2.043,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper],1.323,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper],2.298,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
SHRETA,Cruise,1.068,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Mac Miller,Blue World,153.576,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Mac Miller,Blue World,0.928,2021-09-20 01:07:00,2021-09-19 18:07:00,3,Sunday,18
Ciscero,"Good To Know (feat. Masego, Kp & Ambriia)",241.755,2021-09-20 01:11:00,2021-09-19 18:11:00,3,Sunday,18
Masego,Sides of Me,120.18,2021-09-20 01:13:00,2021-09-19 18:13:00,3,Sunday,18
Erykah Badu,Didn't Cha Know,9.228,2021-09-20 01:26:00,2021-09-19 18:26:00,3,Sunday,18
ELHAE,My City ft. Masego,190.375,2021-09-20 01:26:00,2021-09-19 18:26:00,3,Sunday,18
KAMAUU,MANGO (Remix) [feat. Adi Oasis & Masego],246.867,2021-09-20 01:30:00,2021-09-19 18:30:00,3,Sunday,18
Childish Gambino,Baby Boy,76.048,2021-09-20 01:32:00,2021-09-19 18:32:00,3,Sunday,18
SHAWTZ,Lovestruck,75.662,2021-09-20 02:31:00,2021-09-19 19:31:00,3,Sunday,19
Remi Wolf,Photo ID,265.263,2021-09-21 04:51:00,2021-09-20 21:51:00,4,Monday,21
Remi Wolf,Liz,175.866,2021-09-21 04:54:00,2021-09-20 21:54:00,4,Monday,21
Remi Wolf,Disco Man,192.0,2021-09-21 04:57:00,2021-09-20 21:57:00,4,Monday,21
Wallows,OK - with Remi Wolf & Solomonophonic,162.206,2021-09-21 05:00:00,2021-09-20 22:00:00,4,Monday,22
Cautious Clay,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",138.0,2021-09-21 05:02:00,2021-09-20 22:02:00,4,Monday,22
Remi Wolf,Liquor Store,172.88,2021-09-21 05:05:00,2021-09-20 22:05:00,4,Monday,22
Remi Wolf,Quiet On Set,195.038,2021-09-21 05:08:00,2021-09-20 22:08:00,4,Monday,22
Remi Wolf,Photo ID (with Dominic Fike),209.97,2021-09-21 05:12:00,2021-09-20 22:12:00,4,Monday,22
Remi Wolf,Guerrilla,164.782,2021-09-21 05:15:00,2021-09-20 22:15:00,4,Monday,22
Remi Wolf,Monte Carlo,143.793,2021-09-21 05:17:00,2021-09-20 22:17:00,4,Monday,22
Remi Wolf,Down The Line - Kimbra Remix,4.362,2021-09-21 05:21:00,2021-09-20 22:21:00,4,Monday,22
Remi Wolf,Photo ID (with Dominic Fike),209.97,2021-09-21 05:21:00,2021-09-20 22:21:00,4,Monday,22
Remi Wolf,Photo ID (with Dominic Fike),209.97,2021-09-21 05:24:00,2021-09-20 22:24:00,4,Monday,22
Remi Wolf,Rufufus - Sylvan Esso Remix,14.485,2021-09-21 05:25:00,2021-09-20 22:25:00,4,Monday,22
Remi Wolf,Down The Line - Kimbra Remix,40.269,2021-09-21 05:25:00,2021-09-20 22:25:00,4,Monday,22
Remi Wolf,Down The Line,174.065,2021-09-21 05:28:00,2021-09-20 22:28:00,4,Monday,22
Remi Wolf,Photo ID,265.263,2021-09-21 05:32:00,2021-09-20 22:32:00,4,Monday,22
Remi Wolf,Disco Man,192.0,2021-09-21 05:36:00,2021-09-20 22:36:00,4,Monday,22
Remi Wolf,Liz,175.866,2021-09-21 05:39:00,2021-09-20 22:39:00,4,Monday,22
Remi Wolf,Monte Carlo,6.594,2021-09-22 23:49:00,2021-09-22 16:49:00,6,Wednesday,16
Ahmad Lewis,Back in the Day - Remix,5.479,2021-09-23 20:11:00,2021-09-23 13:11:00,7,Thursday,13
Ahmad Lewis,Back in the Day,102.887,2021-09-23 20:30:00,2021-09-23 13:30:00,7,Thursday,13
Cole Alan,Stages,55.754,2021-09-23 22:41:00,2021-09-23 15:41:00,7,Thursday,15
Ella Martine,chosen one,7.976,2021-09-23 22:43:00,2021-09-23 15:43:00,7,Thursday,15
Doja Cat,Alone,228.866,2021-09-24 01:43:00,2021-09-23 18:43:00,7,Thursday,18
Doja Cat,Kiss Me More (feat. SZA),208.666,2021-09-24 01:47:00,2021-09-23 18:47:00,7,Thursday,18
Doja Cat,Streets,226.986,2021-09-24 01:50:00,2021-09-23 18:50:00,7,Thursday,18
Doja Cat,Shine,160.133,2021-09-24 01:53:00,2021-09-23 18:53:00,7,Thursday,18
Doja Cat,So High,199.746,2021-09-24 01:56:00,2021-09-23 18:56:00,7,Thursday,18
Doja Cat,Rules,187.04,2021-09-24 01:59:00,2021-09-23 18:59:00,7,Thursday,18
Doja Cat,Woman,172.626,2021-09-24 02:02:00,2021-09-23 19:02:00,7,Thursday,19
Doja Cat,Juicy,203.093,2021-09-24 02:05:00,2021-09-23 19:05:00,7,Thursday,19
Doja Cat,MOOO!,286.516,2021-09-24 02:10:00,2021-09-23 19:10:00,7,Thursday,19
Doja Cat,Love To Dream,216.853,2021-09-24 02:13:00,2021-09-23 19:13:00,7,Thursday,19
Doja Cat,Freak,284.48,2021-09-24 02:18:00,2021-09-23 19:18:00,7,Thursday,19
Whethan,THINK YOU RIGHT (feat. ericdoa & glaive),28.47,2021-09-24 02:25:00,2021-09-23 19:25:00,7,Thursday,19
Doja Cat,I Don't Do Drugs (feat. Ariana Grande),89.594,2021-09-24 02:25:00,2021-09-23 19:25:00,7,Thursday,19
NOVODOR,LIKE,8.707,2021-09-24 02:57:00,2021-09-23 19:57:00,7,Thursday,19
NOVODOR,SECOND HAND LOVE (feat. Will Heard),5.038,2021-09-24 03:12:00,2021-09-23 20:12:00,7,Thursday,20
ericdoa,fantasize,1.536,2021-09-26 01:46:00,2021-09-25 18:46:00,9,Saturday,18
ericdoa,fantasize,98.847,2021-09-26 01:48:00,2021-09-25 18:48:00,9,Saturday,18
ericdoa,movinglikeazombie,0.0,2021-09-26 01:50:00,2021-09-25 18:50:00,9,Saturday,18
ericdoa,back n forth,123.24,2021-09-26 01:50:00,2021-09-25 18:50:00,9,Saturday,18
Michael Brun,Soweto,184.626,2021-09-26 01:53:00,2021-09-25 18:53:00,9,Saturday,18
Remi Wolf,Quiet On Set,29.248,2021-09-26 01:53:00,2021-09-25 18:53:00,9,Saturday,18
